Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
ANT1,5.51,-14.97,270,2450AT18B100E,2450AT18B100E_ANTC3216X140N,
C1,9.78,4.61,90,12pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C10,2.9,6.41,270,N.C.,GRM011R60J152KE01L_2_CAPC0201X13N,
C11,8.99,2.53,180,100pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C12,6.3,4.61,270,100nF,GRM011R60J152KE01L_2_CAPC0201X13N,
C13,5.14,4.66,270,N.C.,GRM011R60J152KE01L_2_CAPC0201X13N,
C14,5.93,-5.94,270,4.7uF,PERFECT_0402_0402,
C15,4.07,4.76,270,1.0uF,PERFECT_0402_0402,
C16,2.88,4.74,90,47nF,GRM011R60J152KE01L_2_CAPC0201X13N,
C17,-2.62,2.2,0,12pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C18,-2.89,-3.71,90,12pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C19,19.96,13.96,90,100nF,GRM011R60J152KE01L_2_CAPC0201X13N,
C1_EP-DR,-16.01,-9.46,270,10uF,PERFECT_0402_0402,
C2,8.58,4.79,90,12pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C2-EP-DR,-15.61,-12.75,180,4.7uF/25V,PERFECT_0402_0402,
C20,1.62,-5.9,270,4.7uF,PERFECT_0402_0402,
C21,-0.23,-5.78,270,4.7uF,PERFECT_0402_0402,
C22,6.56,-9.51,180,1pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C23,6.01,14.65,90,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N,
C24,12.98,12.72,180,10uF,PERFECT_0402_0402,
C25,6.03,16.33,90,22uF,PERFECT_0402_0402,
C27,-13.18,16.3,90,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N,
C29,14.06,-16.42,270,1uF,PERFECT_0402_0402,
C3,8.81,1.31,180,1pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C30,-14.03,-16.42,270,1uF,PERFECT_0402_0402,
C31,-3.03,-16.42,270,1uF,PERFECT_0402_0402,
C32,16.24,-9.67,180,1uF,PERFECT_0402_0402,
C33,11.93,16.55,0,22uF,PERFECT_0402_0402,
C34,18.71,-12.45,270,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N,
C37,-15.37,16.09,270,1uF,PERFECT_0402_0402,
C38,-21.03,12.5,90,1uF,PERFECT_0402_0402,
C39,-18.96,11.49,270,10uF,PERFECT_0402_0402,
C4,6.58,-10.52,180,1pF,GRM011R60J152KE01L_2_CAPC0201X13N,
C42,6,13.3,270,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N,
C43,5.99,11.48,270,4.7uF,PERFECT_0402_0402,
C5,-2.93,3.51,0,100nF,GRM011R60J152KE01L_2_CAPC0201X13N,
C6,-0.18,4.99,90,4.7uF,PERFECT_0402_0402,
C7,4.24,-6.05,90,100nF,GRM011R60J152KE01L_2_CAPC0201X13N,
C8,-1.51,4.81,270,100nF,GRM011R60J152KE01L_2_CAPC0201X13N,
C9,8.99,-1.09,180,820pF,GRM011R60J152KE01L_2_CAPC0201X13N,
D2,-6.95,-10.28,180,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N,
D3,-10.22,11.07,180,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N,
D4,-6.22,-14.78,90,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N,
D5,-12.5,-10.3,180,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N,
EPD_C1,-9.83,4.92,180,1uF/50V,PERFECT_0402_0402,
EPD_C10,-9.89,-5.14,180,1uF/50V,PERFECT_0402_0402,
EPD_C11,-9.89,-6.23,180,1uF/50V,PERFECT_0402_0402,
EPD_C12,-9.86,-7.4,180,1uF/50V,PERFECT_0402_0402,
EPD_C2,-9.92,5.99,180,1uF/50V,PERFECT_0402_0402,
EPD_C5,-9.62,2.35,180,0.1uF/50V,GRM011R60J152KE01L_2_CAPC0201X13N,
EPD_C6,-9.37,0.99,180,1uF/50V,PERFECT_0402_0402,
EPD_C7,-9.35,-0.55,180,1uF/50V,PERFECT_0402_0402,
EPD_C8,-9.33,-2.04,180,1uF/50V,PERFECT_0402_0402,
EPD_C9,-9.89,-3.97,180,1uF/50V,PERFECT_0402_0402,
IC1,-16.69,13,180,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50,
IC2,16.41,-12.62,0,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62,
IC3,16.86,11.65,180,BMA423_BMA423,BMA423_BMA423,
IC9,8.41,15.24,180,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60,
J1,-13.7,0,270,503480-2400,503480-2400_5034802400,
J2,17.59,-2.57,90,TC2030-IDC,TC2030-IDC_TC2030IDC,
J4,0,13.84,180,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P,
L1,8.91,0.22,0,3.9nH,NORDIC_NRF_2_RESC0201_L,
L2,0.98,4.8,90,10uH,NORDIC_NRF_2_RESC0201_L,
L3,1.94,4.77,270,15nH,NORDIC_NRF_2_RESC0201_L,
L5,-19.65,-9.85,0,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE,
L7,9.05,11.63,0,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N,
Q1,-7.31,-7,90,DMG2305UX-7 20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,-16.36,-15.17,270,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N,
R17,11,14.67,270,3K3,CPF0201D7K68C1_0201,
R18,11.47,9.71,180,3K3,CPF0201D7K68C1_0201,
R1_EP_DR,-14.04,-14.11,0,0.47,CPF0201D7K68C1_0201,
R1_USB,0.74,9.34,90,5K1,CPF0201D7K68C1_0201,
R2,10.99,15.47,90,0,CPF0201D7K68C1_0201,
R2_EP_DR,-14.73,-13.86,0,10K,CPF0201D7K68C1_0201,
R2_USB,-1.48,9.36,90,5K1,CPF0201D7K68C1_0201,
